epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,26693.2,1.21621,2.51554,1.22096,0.87053,0.85025,0.9015,0.64454,1.2248,2.07644,1.18461,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,27102.6,1.21789,2.48939,1.22193,0.8715,0.84858,0.90185,0.64524,1.22386,2.07444,1.1841,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,27510.2,1.21312,2.47135,1.21873,0.87142,0.84824,0.90183,0.64623,1.22264,2.07282,1.183,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,27897.2,1.21171,2.47319,1.21492,0.87656,0.84549,0.90137,0.64689,1.22184,2.07075,1.1821,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,28259.4,1.19002,2.43875,1.20975,0.87733,0.84671,0.90179,0.64737,1.22122,2.06894,1.18177,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,28622.3,1.19127,2.42504,1.20839,0.87987,0.84454,0.90241,0.64819,1.22072,2.06694,1.18115,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,29005.8,1.19021,2.40405,1.20555,0.88202,0.84405,0.90246,0.64892,1.2198,2.06551,1.18026,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,29381.8,1.18218,2.38633,1.20213,0.87515,0.85008,0.90313,0.6492,1.21934,2.06212,1.17954,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,29780.1,1.17554,2.36777,1.19952,0.87986,0.84845,0.90308,0.64929,1.2197,2.06136,1.17932,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,30193.4,1.17546,2.35733,1.20053,0.88894,0.84337,0.90323,0.649,1.21976,2.05935,1.17867,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,30601,1.17592,2.35986,1.19878,0.88744,0.84453,0.9033,0.64888,1.22031,2.05844,1.17858,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,31007.1,1.1637,2.33159,1.19345,0.8894,0.84318,0.90321,0.64939,1.22069,2.05693,1.17853,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,31414.2,1.16942,2.33651,1.19391,0.88675,0.84569,0.90319,0.64986,1.22006,2.05605,1.17767,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,31820.3,1.15866,2.30167,1.19006,0.88844,0.84445,0.90333,0.6506,1.21979,2.05431,1.1773,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,32231.4,1.16046,2.29672,1.19075,0.88846,0.84404,0.90337,0.65061,1.21983,2.05144,1.17683,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,32639.5,1.14762,2.285,1.18614,0.8872,0.84428,0.90337,0.6515,1.21912,2.04921,1.17633,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,33047.3,1.15519,2.28568,1.18919,0.88647,0.84622,0.90379,0.65221,1.21888,2.04561,1.17606,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,33450.3,1.15234,2.26469,1.18436,0.88522,0.84676,0.90363,0.65274,1.21809,2.0442,1.17571,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,33861.1,1.14525,2.24876,1.18468,0.88478,0.84712,0.90367,0.65292,1.21844,2.04401,1.17546,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,34236.2,1.01536,1.57657,1.10442,0.88523,0.84686,0.90354,0.65317,1.21798,2.04199,1.17515,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,34607.4,0.99975,1.53885,1.09775,0.8831,0.84745,0.9028,0.65352,1.21715,2.04098,1.17489,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,34978.8,0.9825,1.49228,1.08818,0.87975,0.85298,0.90271,0.65349,1.21708,2.03727,1.17458,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,35349.9,0.97804,1.47772,1.0825,0.87908,0.85406,0.90219,0.65372,1.21666,2.03485,1.1744,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,35713.2,0.97163,1.46551,1.08129,0.88631,0.8482,0.90261,0.65452,1.21596,2.03266,1.17395,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,36052.2,0.96343,1.45391,1.07612,0.88827,0.84881,0.90268,0.65441,1.2154,2.03056,1.17387,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,36393.4,0.96189,1.42999,1.07514,0.88861,0.84844,0.9021,0.65514,1.21466,2.02957,1.17378,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,36731,0.95866,1.43092,1.07401,0.88984,0.84809,0.90169,0.65533,1.21412,2.02891,1.17368,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,37063.7,0.94831,1.40766,1.07174,0.89252,0.84624,0.90032,0.65543,1.21408,2.02803,1.17362,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,37390.7,0.95465,1.41152,1.06918,0.89307,0.84629,0.90056,0.65562,1.21427,2.02614,1.17383,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,37713.3,0.95534,1.4015,1.0698,0.89476,0.84646,0.90094,0.65569,1.21439,2.02637,1.17399,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,38038.2,0.9502,1.40591,1.06682,0.88984,0.85012,0.90072,0.65607,1.21458,2.02715,1.17415,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,38362,0.94593,1.39138,1.06829,0.89515,0.84685,0.90064,0.65586,1.21434,2.02589,1.17417,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,38684.3,0.94857,1.39425,1.06695,0.89208,0.84989,0.90044,0.65624,1.21379,2.02484,1.174,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,39009.5,0.94404,1.39007,1.06722,0.89532,0.8491,0.90026,0.65616,1.21392,2.02481,1.17436,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
